2020/07/02 16:56:17 [error] 12092#20372: *303 rewrite or internal redirection cycle while internally redirecting to "/static/admin/js/urlify.js/index.html/index.html/index.html/index.html/index.html/index.html/index.html/index.html/index.html/index.html/index.html", client: 127.0.0.1, server: localhost, request: "GET /static/admin/js/urlify.js HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/admin/auth/group/"
2020/07/02 16:56:17 [error] 12092#20372: *304 rewrite or internal redirection cycle while internally redirecting to "/static/admin/js/prepopulate.js/index.html/index.html/index.html/index.html/index.html/index.html/index.html/index.html/index.html/index.html/index.html", client: 127.0.0.1, server: localhost, request: "GET /static/admin/js/prepopulate.js HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/admin/auth/group/"
2020/07/02 16:56:17 [error] 12092#20372: *305 rewrite or internal redirection cycle while internally redirecting to "/static/admin/js/vendor/xregexp/xregexp.js/index.html/index.html/index.html/index.html/index.html/index.html/index.html/index.html/index.html/index.html/index.html", client: 127.0.0.1, server: localhost, request: "GET /static/admin/js/vendor/xregexp/xregexp.js HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/admin/auth/group/"
2020/07/02 16:56:17 [error] 12092#20372: *306 rewrite or internal redirection cycle while internally redirecting to "/static/admin/css/responsive.css/index.html/index.html/index.html/index.html/index.html/index.html/index.html/index.html/index.html/index.html/index.html", client: 127.0.0.1, server: localhost, request: "GET /static/admin/css/responsive.css HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/admin/auth/group/"
2020/07/02 16:56:19 [error] 12092#20372: *307 rewrite or internal redirection cycle while internally redirecting to "/static/admin/css/base.css/index.html/index.html/index.html/index.html/index.html/index.html/index.html/index.html/index.html/index.html/index.html", client: 127.0.0.1, server: localhost, request: "GET /static/admin/css/base.css HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/admin/auth/group/?q="
2020/07/02 16:56:19 [error] 12092#20372: *308 rewrite or internal redirection cycle while internally redirecting to "/static/admin/css/changelists.css/index.html/index.html/index.html/index.html/index.html/index.html/index.html/index.html/index.html/index.html/index.html", client: 127.0.0.1, server: localhost, request: "GET /static/admin/css/changelists.css HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/admin/auth/group/?q="
2020/07/02 16:56:19 [error] 12092#20372: *311 rewrite or internal redirection cycle while internally redirecting to "/static/admin/js/vendor/jquery/jquery.js/index.html/index.html/index.html/index.html/index.html/index.html/index.html/index.html/index.html/index.html/index.html", client: 127.0.0.1, server: localhost, request: "GET /static/admin/js/vendor/jquery/jquery.js HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/admin/auth/group/?q="
2020/07/02 16:56:19 [error] 12092#20372: *312 rewrite or internal redirection cycle while internally redirecting to "/static/admin/js/jquery.init.js/index.html/index.html/index.html/index.html/index.html/index.html/index.html/index.html/index.html/index.html/index.html", client: 127.0.0.1, server: localhost, request: "GET /static/admin/js/jquery.init.js HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/admin/auth/group/?q="
2020/07/02 16:56:19 [error] 12092#20372: *313 rewrite or internal redirection cycle while internally redirecting to "/static/admin/js/core.js/index.html/index.html/index.html/index.html/index.html/index.html/index.html/index.html/index.html/index.html/index.html", client: 127.0.0.1, server: localhost, request: "GET /static/admin/js/core.js HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/admin/auth/group/?q="
2020/07/02 16:56:19 [error] 12092#20372: *315 rewrite or internal redirection cycle while internally redirecting to "/static/admin/css/responsive.css/index.html/index.html/index.html/index.html/index.html/index.html/index.html/index.html/index.html/index.html/index.html", client: 127.0.0.1, server: localhost, request: "GET /static/admin/css/responsive.css HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/admin/auth/group/?q="
